Recency,Frequency,Monetary,Monetary_log,Monetary_raw,Cluster,PCA1,PCA2
130,1,2509.1100000000006,7.828081855866751,3396.64,0,37.54652045516748,-2.2106989459136583
82,2,736.44,6.603184728972198,736.44,2,-10.456656727916481,-2.180082469035162
22,4,1738.25,7.461209264803751,1738.25,2,-70.48701776220031,-1.2576316534918561
5,5,1253.46,7.1344604800849005,1253.46,2,-87.50061634245871,-0.5960347850802599
185,5,1211.84,7.100719995874571,1211.84,0,92.46646130992208,2.769995496007633
29,2,286.32,5.660596577206601,286.32,2,-63.441956225494394,-3.2252212318639186
367,1,215.7,5.378513908542313,215.7,1,274.51581473487926,2.084814269016759
16,6,2466.7000000000003,7.811041821721038,2466.7000000000003,2,-76.52463752024582,0.6463762870927194
80,1,407.74,6.01307925708039,407.74,2,-12.43474507389179,-3.249191173212825
22,1,406.88,6.010973013496025,406.88,2,-70.42406854531123,-4.334537090151795
72,4,1193.5,7.0854829667658645,1193.5,2,-20.494237210150345,-0.34340389558256046
217,1,331.18,5.805676990670853,331.18,0,124.5411525381917,-0.6975759230646279
19,12,1844.57,7.520543451850969,1844.57,2,-73.63431506882063,6.67531847998894
36,2,1720.01,7.450666606769905,1720.01,2,-56.452652494945085,-2.9927076850459104
46,1,1349.44,7.208185744256085,1349.44,2,-46.434774689851096,-3.817568508260747
119,4,729.15,6.593249992486481,729.15,0,26.499707391943147,0.5080828648905342
303,1,32.85,3.521938999358284,32.85,1,210.53734214116486,0.7820127294251913
323,1,195.6,5.281171207713066,195.6,1,230.52441742946382,1.2560174759946987
50,1,92.9,4.542230386214217,92.9,2,-42.42149730565906,-3.893945991800282
149,1,1104.8700000000001,7.008387634486671,1104.8700000000001,0,56.54733511768909,-1.9016891546041776
22,2,2509.1100000000006,7.828081855866751,2871.78,2,-70.4520618637682,-3.2332508130162703
50,5,1085.01,6.990265708554618,1085.01,2,-42.50813334243876,0.2377721057714437
33,5,1869.47,7.533945015167201,1869.47,2,-59.50786497543324,-0.04947244703429643
79,3,1646.79,7.4071902751654175,1646.79,2,-13.478773258616513,-1.1923947388001341
309,1,274.23,5.61760711174576,274.23,1,216.52522345840225,1.0131498812326134
75,3,1115.04,7.017541984592843,1115.04,2,-17.475989620235083,-1.2893399181474843
67,3,545.2,6.302985209039605,545.2,2,-25.47076263220029,-1.4795580481141384
217,3,343.65,5.842529409331661,343.65,0,124.50407455939826,1.300943684883813
25,11,2509.1100000000006,7.828081855866751,3756.06,2,-67.6185927547552,5.806813134826877
3,9,2151.75,7.674501373576274,2151.75,2,-89.57685570543936,3.3900347570604463
113,1,418.16,6.038252708606741,418.16,0,20.559054330485907,-2.6303068369022338
64,1,380.3,5.943586466863518,380.3,2,-28.431437607069846,-3.5525058172910993
16,4,607.57,6.411111942787508,607.57,2,-76.48039486292194,-1.4294610106819814
96,3,645.3100000000001,6.47127926483985,645.3100000000001,0,3.5230200430273726,-0.9273987009112483
1,8,1535.61,7.3373339702868865,1535.61,2,-91.55627355762577,2.335273430565591
163,2,703.72,6.557800560801541,703.72,0,70.52868695945803,-0.6670819276592255
78,1,538.14,6.2899752774420765,538.14,2,-14.435832734731889,-3.2709064328628163
195,1,446.08,6.1027375495174105,446.08,0,102.54363663146886,-1.0923634072816872
22,3,425.62,6.055893687263672,425.62,2,-70.46118893288612,-2.3355598274742784
26,8,2509.1100000000006,7.828081855866751,4830.43,2,-66.5634502321607,2.8308800870879143
9,4,2313.04,7.746750193688921,2313.04,2,-83.48612810365114,-1.4846753574471974
43,1,168.6,5.133442723357803,168.6,2,-49.42331765624278,-3.991386326138532
60,13,2509.1100000000006,7.828081855866751,3866.05,2,-32.66191307997224,8.458120394153376
43,4,1909.68,7.555214478622666,1909.68,2,-49.491373508499,-0.8593725901049627
1,7,2509.1100000000006,7.828081855866751,7947.37,2,-91.54041091554782,1.3648954516418428
85,2,624.84,6.439094747376825,624.84,2,-7.456345891235856,-2.133257724335307
268,1,78.0,4.3694478524670215,78.0,1,175.53932347314083,0.1752078520134539
100,1,429.01000000000005,6.063808464231149,429.01000000000005,0,7.561310536603642,-2.872097650667152
2,18,2509.1100000000006,7.828081855866751,2760.54,2,-90.74345830533039,12.363967030282906
14,2,1753.1200000000001,7.469722585643237,1753.1200000000001,2,-78.44870713955804,-3.403264391857516
367,1,155.55,5.053375447772415,155.55,1,274.517523744541,2.0663714765907386
3,1,144.06,4.977147449935266,144.06,2,-89.41514064088709,-4.7486838762364805
21,5,2382.56,7.776350447392865,2382.56,2,-71.5069324730471,-0.26025212015531896
22,1,77.4,4.361823927356363,77.4,2,-70.41540020224537,-4.428081588711617
58,1,734.36,6.600360175220336,734.36,2,-34.43378645193808,-3.627516520555709
243,1,379.78999999999996,5.942248042068195,379.78999999999996,1,150.53565361912422,-0.2033483985939304
44,1,283.95,5.652313726281008,283.95,2,-48.42622886015358,-3.943243663691902
22,4,2509.1100000000006,7.828081855866751,2733.84,2,-70.48894613696493,-1.2368215806762661
156,2,131.88,4.889446465305039,131.88,0,63.53874345929542,-0.8926913952070752
11,5,2509.1100000000006,7.828081855866751,5878.31,2,-81.50536551435691,-0.4444257729877341
17,1,287.67,5.665284167171766,287.67,2,-75.42133208164287,-4.44769956364684
134,1,707.09,6.562571204258897,707.09,0,41.55243674916933,-2.2076391615159556
56,1,66.4,4.210645017918261,66.4,2,-36.42085773263068,-3.800489666812229
73,5,1201.8600000000001,7.09245733347515,1201.8600000000001,2,-19.51289989297777,0.6739171275787319
44,3,1663.24,7.4171238417501275,1663.24,2,-48.47238941992473,-1.8467093052039036
86,2,958.93,6.866860365136666,958.93,2,-6.458778222290107,-2.0902828224282386
71,2,612.38,6.418984645996978,612.38,2,-21.453665766668564,-2.396349638153892
155,1,419.08,6.040445169329604,419.08,0,62.551319543935634,-1.8443288418148756
19,2,657.8,6.490419998303485,657.8,2,-73.44447911444678,-3.3652592587750902
53,4,1155.38,7.053049714939015,1155.38,2,-39.49057287599683,-0.7007488179363675
150,4,76.5,4.350277936359301,76.5,0,57.50579651492275,0.9608898365401233
17,2,621.49,6.433727563952803,621.49,2,-75.44381335032818,-3.405896618909314
188,2,575.99,6.357824935335385,575.99,0,95.52514090171069,-0.2106551033469355
2,26,2509.1100000000006,7.828081855866751,8703.38,2,-90.8909953981173,20.349683959642924
32,7,2509.1100000000006,7.828081855866751,5052.03,2,-60.54611141876582,1.9449302755441682
54,3,2218.95,7.705239952090166,2218.95,2,-38.47574270279139,-1.6432585196965617
17,18,2509.1100000000006,7.828081855866751,6115.2,2,-75.7462166133391,12.644629041848548
54,1,561.9399999999999,6.333173050524441,561.9399999999999,2,-38.43164650029607,-3.7175153489325723
16,10,2509.1100000000006,7.828081855866751,3530.83,2,-76.59849563335162,4.64020131171749
23,6,2509.1100000000006,7.828081855866751,7057.34,2,-69.52601429736222,0.7783184524347808
4,1,479.59000000000003,6.175014515761715,479.59000000000003,2,-88.42162081916356,-4.662026596304869
11,1,426.35,6.057603349612027,426.35,2,-81.42229088689902,-4.53771089131021
28,4,2266.94,7.726627209471247,2266.94,2,-64.48951618898755,-1.1303115765731375
23,10,2509.1100000000006,7.828081855866751,3445.7,2,-69.59978284375568,4.77117691711479
17,7,1486.54,7.304879027814537,1486.54,2,-75.5406030248827,1.6345906886722261
35,4,2509.1100000000006,7.828081855866751,3322.58,2,-57.49133667057247,-0.9935811706527113
10,3,952.1600000000001,6.859782780433041,952.1600000000001,2,-82.46320773007614,-2.5144905259004413
336,1,191.43,5.259732451232468,191.43,1,243.52213958336142,1.4980418178400772
5,10,2509.1100000000006,7.828081855866751,4227.11,2,-87.59647287414523,4.434382503236021
39,1,350.75,5.862920695994498,350.75,2,-53.42641642744157,-4.024851432036554
63,2,227.21,5.43026625767732,227.21,2,-29.44699771612771,-2.602119006517445
166,2,332.91,5.810871495587697,332.91,0,73.53206134519642,-0.6533174988982893
16,7,951.75,6.85935253975397,951.75,2,-76.53807733821967,1.5906083389120615
82,1,20.4,3.0633909220278057,20.4,2,-10.419608543290764,-3.3790844121113586
21,3,349.70000000000005,5.859931157146132,349.70000000000005,2,-71.45997501725851,-2.3653861888519545
50,7,497.89,6.212385630569092,497.89,2,-42.54092888197474,2.1900777337348636
337,1,1866.66,7.532441589374473,1866.66,1,244.51000976436853,1.6456672440301432
96,5,1511.32,7.321400174558488,1511.32,0,3.481667320158735,1.1172518443974946
30,1,60.0,4.110873864173311,60.0,2,-62.41555224309623,-4.292629794817756
233,1,57.6,4.070734696582967,57.6,1,140.5473296367631,-0.49661404779524077
156,2,388.75,5.965505507937886,388.75,0,63.53308742187646,-0.8316542188778708
26,2,397.88,5.988660619775247,397.88,2,-66.44312895114936,-3.2627448943029407
284,1,124.5,4.832305758571839,124.5,1,191.53394838016953,0.5008353014202012
143,2,620.05,6.431411593990203,620.05,0,50.533029035720276,-1.0484670902622408
66,2,124.23,4.830152046575941,124.23,2,-26.444395026249495,-2.5800268152609824
113,1,520.04,6.255826814238146,520.04,0,20.557910706173402,-2.617965405322792
267,1,779.68,6.6601653347630005,779.68,1,174.52746677215544,0.28643316194613977
353,1,190.8,5.256453162449338,190.8,1,260.5190307377195,1.8159394202181316
78,2,270.48,5.603888471835558,270.48,2,-14.45066862623456,-2.311608641580493
28,4,2176.85,7.686093430597807,2176.85,2,-64.48930313323413,-1.1326107695638248
1,5,1750.09,7.467993730165415,1750.09,2,-91.50163392844564,-0.6519590190463358
64,1,242.84,5.496512272498282,242.84,2,-28.429087672473138,-3.5778651566512707
79,5,2061.56,7.631703208694795,2061.56,2,-13.516837628353287,0.8167695154755537
143,1,499.03,6.214668096622264,499.03,0,50.55261043074488,-2.0589760235123595
39,2,152.72,5.035132765696643,152.72,2,-53.44050750213419,-3.07359133774962
19,11,1277.91,7.153763431628346,1277.91,2,-73.6139450440333,5.65629904188874
9,8,1719.21,7.450201655378008,1719.21,2,-83.55833791621794,2.491362017770319
1,3,1074.46,6.980503756012426,1074.46,2,-91.46218728513172,-2.6760400904883026
82,3,296.71000000000004,5.696119858320856,296.71000000000004,2,-10.470331103038404,-1.233319191740124
9,6,1121.63,7.023429425828206,1121.63,2,-83.51921042066624,0.4707250321422576
60,4,1051.42,6.95884755316648,1051.42,2,-32.49136493610633,-0.5751166311907383
15,1,95.27,4.567156743789875,95.27,2,-77.41519227285386,-4.547410123803034
30,1,297.33000000000004,5.698200256359968,297.33000000000004,2,-62.423895630507715,-4.202592057989822
131,1,828.73,6.72110034666391,828.73,0,38.552155141660464,-2.254779333073217
92,2,577.85,6.361043376651738,577.85,2,-0.45722284397196233,-2.006709418081395
59,1,2509.1100000000006,7.828081855866751,3659.97,2,-33.4404235535913,-3.539165800657692
29,1,258.75,5.5597196299793366,258.75,2,-63.42298385424754,-4.229157879791952
22,4,2509.1100000000006,7.828081855866751,4141.6,2,-70.48894613696493,-1.2368215806762661
20,17,2509.1100000000006,7.828081855866751,7967.64,2,-72.72832613834248,11.702546827991673
30,3,721.38,6.5825513162267235,721.38,2,-62.46542827566911,-2.1559998797152398
36,1,284.9,5.655642099328266,284.9,2,-56.424775257316185,-4.092741274929366
75,2,698.8,6.550794579933587,698.8,2,-17.455094141690438,-2.314029794977608
47,2,969.58,6.877893830947975,969.58,2,-45.451664616143454,-2.8193782024557703
198,2,151.79999999999998,5.02912987673242,151.79999999999998,0,105.53028598567023,-0.09891451635095194
166,1,67.19999999999999,4.222444564849416,67.19999999999999,0,73.55885265391417,-1.7416322776209974
79,1,748.88,6.619913193728991,748.88,2,-13.437750858741538,-3.233480600689017
358,1,168.0,5.1298987149230735,168.0,1,265.5187765037756,1.902314890347161
40,1,165.47,5.114815113005919,165.47,2,-52.42266808322818,-4.048575340303421
8,10,2509.1100000000006,7.828081855866751,2933.7,2,-84.59702453574698,4.49051490554915
50,2,513.66,6.24350648846484,513.66,2,-42.44888177805229,-2.79923008218484
8,1,195.08,5.2785227392198575,195.08,2,-84.41764418133576,-4.638034995664911
320,1,301.41,5.711783712541687,301.41,1,227.52270568325628,1.2243106584733452
5,2,1746.16,7.465746891515626,1746.16,2,-87.44703125750289,-3.5718871116487825
303,1,207.05,5.33777843542895,207.05,1,210.52779763162556,0.8850123859995973
8,7,2509.1100000000006,7.828081855866751,2701.7400000000002,2,-84.54169812595188,1.4958710570391416
261,1,336.15,5.820527935180591,336.15,1,168.53298344106048,0.1265416993202324
289,1,145.92,4.989888220951467,145.92,1,196.53220065104472,0.6033278376064306
86,1,222.13,5.407754561246412,222.13,2,-6.432666657994886,-3.1712621333840465
23,10,2509.1100000000006,7.828081855866751,6673.58,2,-69.59978284375568,4.77117691711479
2,28,2509.1100000000006,7.828081855866751,2704.69,2,-90.92787967131402,22.34611319198293
40,2,489.37,6.1951602081993755,489.37,2,-52.44678878581756,-2.9890804305257626
9,2,650.87,6.479845155543454,650.87,2,-83.44258465840332,-3.552967102104777
227,1,150.59,5.021179507971927,150.59,1,134.54343718259292,-0.5549668780357946
316,1,162.55,5.097118753984393,162.55,1,223.52667206593293,1.1146018839173255
36,5,1225.31,7.111764939346164,1225.31,2,-56.5061975521969,-0.017287317788561296
35,3,570.65,6.3485269159879785,570.65,2,-57.46511762046674,-2.07572041565457
21,2,2242.96,7.715997441171771,2242.96,2,-71.45128883264663,-3.2583193654649105
78,1,329.12,5.799456224724484,329.12,2,-14.433254443014647,-3.2987300900483016
247,1,379.7,5.942011663388452,379.7,1,154.53491931278774,-0.12851860359108613
40,1,169.76,5.140259061889761,169.76,2,-52.422801823033595,-4.047132086045982
239,2,313.92,5.752318638316266,313.92,1,146.51894534812305,0.7092496702351188
3,15,2509.1100000000006,7.828081855866751,5267.89,2,-89.68831578273588,9.388033982543945
4,8,1100.6000000000001,7.004518947414446,1100.6000000000001,2,-88.55507585962141,2.372527603681956
234,2,1212.95,7.1016347846098204,1212.95,1,141.51277243852866,0.6922327747375006
17,1,186.54000000000002,5.233992155991479,186.54000000000002,2,-75.41906510217697,-4.472163692001152
8,1,104.0,4.653960350157523,104.0,2,-84.41436132407324,-4.673461977976693
39,1,79.65,4.390118804571218,79.65,2,-53.41867500965818,-4.1083930084586395
29,2,417.28,6.0361510647303875,417.28,2,-63.44393023449403,-3.2039186968095903
211,1,877.26,6.777942677360646,877.26,0,118.53714538800365,-0.7546910102440432
317,1,323.1,5.781052110147502,323.1,1,224.52289325270942,1.1721073597049099
92,2,350.6,5.862494165811022,350.6,2,-0.4546023437205946,-2.034988569025023
109,3,382.09999999999997,5.9482960517066035,382.09999999999997,0,16.523378440942892,-0.7138234090015869
47,8,2509.1100000000006,7.828081855866751,2743.43,2,-45.56731186337288,3.2238069032798116
51,2,288.27,5.667360508022234,288.27,2,-41.44603729683156,-2.8131999452123133
19,4,2509.1100000000006,7.828081855866751,2544.07,2,-73.48839447536318,-1.2929539829893946
10,7,2103.43,7.651799925599935,2103.43,2,-82.54113931811696,1.5232934384315397
29,7,764.38,6.640372442522167,764.38,2,-63.53931685726864,1.8214275654523941
29,9,1996.22,7.5995114925959415,1996.22,2,-63.58124260694785,3.8722619345034275
190,5,371.51,5.920263883096861,371.51,0,97.47174664863952,2.796590620238355
59,1,129.22,4.869225327808716,129.22,2,-33.42487105825693,-3.7070006874813832
79,2,236.18,5.468819346536649,236.18,2,-13.450142556084685,-2.3005593516474883
60,1,1490.26,7.30737667917338,1490.26,2,-32.43787048320225,-3.549990901195186
78,3,846.11,6.741830556349529,846.11,2,-14.475092073110176,-1.248846664240645
23,4,1479.6399999999999,7.3002297057186345,1479.6399999999999,2,-69.48635550028285,-1.2480520781870617
52,1,924.52,6.830355741720633,924.52,2,-40.43389204337477,-3.7267353124714866
74,1,654.0,6.484635235635252,654.0,2,-18.4361203677104,-3.3347079609814565
57,4,2509.1100000000006,7.828081855866751,2886.4,2,-35.49538218898523,-0.5819435536897712
278,1,218.15,5.389756426864818,218.15,1,185.53212160222228,0.42019070849922446
2,4,1552.99,7.348581095900453,1552.99,2,-90.48274801615861,-1.6382362638992518
95,2,386.79999999999995,5.9604897428085515,386.79999999999995,0,2.544330905237004,-1.973297574594083
29,1,333.08,5.811380485254219,333.08,2,-63.424306647103634,-4.2148829493374045
22,1,121.41,4.807376066087421,121.41,2,-70.41774213653422,-4.402808584742391
16,8,681.02,6.525058982926674,681.02,2,-76.55476234366498,2.5698608591696868
15,3,1100.1399999999999,7.004101285768779,1100.1399999999999,2,-77.46488574050115,-2.412750359661246
2,19,2509.1100000000006,7.828081855866751,7699.9800000000005,2,-90.76190044192876,13.362181646452909
232,1,123.85,4.827113016725782,123.85,1,139.54353780895906,-0.47242088598707
276,1,269.1,5.59879226079857,269.1,1,183.53139063161802,0.3946262231091664
106,2,492.78,6.202090073863219,492.78,0,13.54103823382438,-1.7537744976445024
212,2,1625.82,7.394382468031754,1625.82,0,119.51527920136563,0.29720065177168475
23,9,2509.1100000000006,7.828081855866751,4945.49,2,-69.58134070715732,3.772962300944787
11,6,2509.1100000000006,7.828081855866751,3675.3,2,-81.52380765095526,0.553788843182268
4,3,665.46,6.50198012281404,665.46,2,-88.4602237059632,-2.6470509305252943
10,2,905.08,6.8091276023654945,905.08,2,-82.44449933710032,-3.515578450051882
57,1,396.0,5.983936280687191,396.0,2,-35.43036248545254,-3.681192664726586
59,4,1379.94,7.230519705687756,1379.94,2,-33.49260902618159,-0.5784174029390208
90,2,1357.69,7.214276279226745,1357.69,2,-2.461339876661171,-1.995733185433152
67,8,2509.1100000000006,7.828081855866751,5056.84,2,-25.57098960738449,3.598022918700666
33,1,498.25,6.2131069722959245,498.25,2,-59.427153771528545,-4.117252659807047
239,1,325.3,5.787817203599275,325.3,1,146.5372008953192,-0.28695136479967776
24,3,609.53,6.414327432392566,609.53,2,-68.46344072535166,-2.2778068288275883
115,1,128.9,4.866764923676554,128.9,0,22.56484419101453,-2.659335405530494
25,3,743.77,6.613075445882023,743.77,2,-67.4646692821816,-2.24782246678917
221,2,73.28,4.307841736484505,73.28,0,128.52984785223572,0.2905203551404787
130,1,417.12,6.035768472664507,417.12,0,37.55594130584599,-2.312364136831099
34,4,1406.18,7.249342980701541,1406.18,2,-58.4881107860427,-1.0451197116986686
5,2,838.16,6.7324013915037755,838.16,2,-87.44317660880354,-3.6134845861562517
22,12,1843.87,7.520164093287549,1843.87,2,-70.63486473641818,6.731429363988845
155,1,255.3,5.546348633370026,255.3,0,62.553916639806076,-1.8723554241808609
107,3,513.0500000000001,6.242320536988728,513.0500000000001,0,14.522200748576012,-0.7345670926579055
3,1,242.44000000000003,5.4948705055887155,242.44000000000003,2,-89.41786192369726,-4.719317129445063
335,1,114.0,4.74493212836325,114.0,1,242.5250293907523,1.450130056121373
331,1,732.28,6.597527620760814,732.28,1,238.51602723092338,1.480371419270191
149,2,752.81,6.6251403468633745,752.81,0,56.530907425385735,-0.9252134313253286
11,5,499.33,6.215267880717977,499.33,2,-81.49688815778829,-0.5359092391240319
17,5,1873.35,7.536017211635064,1873.35,2,-75.50493367221064,-0.348727718403258
11,3,623.0,6.436150368369428,623.0,2,-81.46116489859345,-2.5198093789025098
19,1,535.4,6.284880151407523,535.4,2,-73.4249566086316,-4.375132688616664
30,1,45.6,3.8416005411316,45.6,2,-62.41413687467246,-4.307903755305123
11,1,203.7,5.321545492667243,203.7,2,-81.41842198136833,-4.579462218535629
1,11,2509.1100000000006,7.828081855866751,3289.4300000000003,2,-91.61417946194128,5.357753916321851
59,4,406.8,6.010776858140355,406.8,2,-33.48619775048582,-0.6476047396114364
325,1,45.0,3.828641396489095,45.0,1,232.53168451768545,1.2110473920450868
58,1,410.23,6.019152668678152,410.23,2,-34.43073147886045,-3.6604842887312112
12,4,2509.1100000000006,7.828081855866751,2666.0,2,-80.48710726495912,-1.4239295883866934
151,2,1319.92,7.186083742506803,1319.92,0,58.527591191178956,-0.855973500496388
10,5,2087.47,7.644187019457715,2087.47,2,-82.50421502956765,-0.47356761992931506
330,1,162.29999999999998,5.095588999976419,162.29999999999998,1,237.52410568589727,1.3764663226469853
5,2,504.62,6.225785399012317,504.62,2,-87.44051370751555,-3.6422213082502704
39,4,1289.54,7.162816014416396,1289.54,2,-53.48857541451212,-0.9564737672427368
25,6,1031.39,6.939631781629396,1031.39,2,-67.52171215434652,0.7653446001101001
43,8,1359.8,7.215828041081652,1359.8,2,-49.56335815427532,3.114234895761424
284,1,639.86,6.4628110243296595,639.86,1,191.52537803372053,0.5933222686485529
1,4,736.97,6.603903173367718,736.97,2,-91.47864991419094,-1.699187346908789
15,21,2509.1100000000006,7.828081855866751,9584.4,2,-77.80117524873303,15.601851288816468
4,30,2509.1100000000006,7.828081855866751,8429.54,2,-88.9651317189119,24.379964025865014
4,14,2509.1100000000006,7.828081855866751,5146.41,2,-88.67005753333811,8.408530167144987
8,6,1646.19,7.406826084786944,1646.19,2,-84.52104176289403,0.4737615970358666
28,6,2437.65,7.79919988648359,2437.65,2,-64.52678192245784,0.8702341875815582
372,1,71.14,4.278608675475393,71.14,1,279.5206766778798,2.1159784717585897
114,1,2509.1100000000006,7.828081855866751,2770.04,0,21.549462650376782,-2.510071758250342
26,2,1020.21,6.92874347772048,1020.21,2,-66.44807026348522,-3.209420679839699
206,1,265.11,5.583909757134735,265.11,0,113.5443409618472,-0.9159740094491617
58,4,678.2,6.520915634997138,678.2,2,-34.48869528121535,-0.6373789957862028
127,4,476.51,6.168585102109873,476.51,0,34.500468439987884,0.6336810521342722
70,2,447.62,6.106176204239879,447.62,2,-22.45183767949247,-2.4328038370660585
7,4,342.56,5.839361768898024,342.56,2,-85.47573461516208,-1.6302895385780287
29,3,676.71,6.51871946782485,676.71,2,-63.46490887219222,-2.1783314072605227
8,4,2509.1100000000006,7.828081855866751,3888.64,2,-84.4863717161568,-1.4987727914708646
80,2,652.45,6.4822660190430454,652.45,2,-12.455653374312945,-2.2243629289921047
20,1,201.0,5.308267697401205,201.0,2,-72.42000717473655,-4.4118181664872
71,1,265.55,5.58556184326877,265.55,2,-21.430842949855375,-3.4418384024435316
7,8,1180.98,7.074946277349118,1180.98,2,-85.555997705012,2.4326548475282213
15,8,2509.1100000000006,7.828081855866751,5154.4,2,-77.5614274729543,2.6250612786064433
292,1,417.52000000000004,6.036724678512846,417.52000000000004,1,199.5261465532932,0.7188398268348601
30,10,2117.96,7.658680681261437,2117.96,2,-62.600179638908884,4.89254359869369
15,14,2509.1100000000006,7.828081855866751,4585.32,2,-77.67208029254449,8.614348975626456
97,3,909.8199999999999,6.814345292666106,909.8199999999999,0,4.521032914356141,-0.8892282043397257
29,13,2509.1100000000006,7.828081855866751,2586.98,2,-63.65621257675425,7.878085570251052
1,1,722.85,6.5845841886000525,722.85,2,-91.4232219589449,-4.694927024023961
9,5,2509.1100000000006,7.828081855866751,3621.0299999999997,2,-83.50499773995574,-0.48184737452981974
106,1,263.36,5.577311810602252,263.36,0,13.562764362374438,-2.7874283411342318
4,2,912.91,6.8177320983344964,912.91,2,-88.44344124129537,-3.627355182818811
151,2,774.03,6.652901738281566,774.03,0,58.53039373011738,-0.8862171234929734
71,1,182.35,5.2113968945173355,182.35,2,-21.428876244621605,-3.4630621188459974
5,2,498.55,6.213707693179027,498.55,2,-87.44045022405096,-3.642906390602996
3,25,2509.1100000000006,7.828081855866751,4424.39,2,-89.87273714871951,19.370180144243967
32,6,2108.19,7.6540592665109966,2108.19,2,-60.5267545755964,0.9368445955654519
115,2,726.1,6.5890640196560115,726.1,0,22.537349216469963,-1.5634270110007904
4,4,580.33,6.365318581839422,580.33,2,-88.47794751507314,-1.6565881516090162
5,4,923.41,6.829155696169494,923.41,2,-87.48056944700085,-1.6115671702496268
371,1,371.8,5.921042082811436,371.8,1,278.5122275213142,2.1904312368521666
28,7,1550.1,7.346719635630705,1550.1,2,-64.54284570886465,1.842782817255861
11,7,2461.52,7.808940494840673,2461.52,2,-81.5421491757378,1.5509177060786667
71,4,565.33,6.339176947171316,565.33,2,-21.49013055049437,-0.40444732895904423
114,1,360.71000000000004,5.89084278579733,360.71000000000004,0,21.559645266976503,-2.61995755264164
24,10,2509.1100000000006,7.828081855866751,7116.69,2,-68.59996673095625,4.789887717885833
180,1,178.26000000000002,5.188837265929216,178.26000000000002,0,87.55119862960645,-1.424864482083299
234,1,276.85,5.62708139972593,276.85,1,141.5389651992013,-0.3896227676216144
353,1,110.39999999999999,4.713127327493184,110.39999999999999,1,260.52188659518777,1.7851204098492497
315,2,375.07,5.929775296275137,375.07,1,222.50403716397824,2.1413363829311116
333,1,93.6,4.549657476057833,93.6,1,240.52642357792138,1.4016319123886039
372,1,110.4,4.713127327493184,110.4,1,279.51839273837675,2.1406256244990605
99,1,516.0,6.248042874508429,516.0,0,6.560526041329737,-2.880358143657232
64,1,344.8,5.84586057324919,344.8,2,-28.430923935152983,-3.558049112188628
134,2,418.93,6.040088030720315,418.93,0,41.53674091575995,-1.2390612997700305
56,4,2509.1100000000006,7.828081855866751,4774.93,2,-36.495198301784654,-0.600654354460814
2,11,2509.1100000000006,7.828081855866751,2640.41,2,-90.61436334914185,5.376464717092894
1,196,2509.1100000000006,7.828081855866751,20519.88,2,-95.02597473263835,190.02745790777223
4,5,2509.1100000000006,7.828081855866751,2737.73,2,-88.50407830395284,-0.5754013783850329
129,1,184.98,5.225639141050051,184.98,0,36.560383436908936,-2.3770278127735867
81,1,854.12,6.75124180996569,854.12,2,-11.438808929435183,-3.1886096607847008
23,6,1988.77,7.595774333149452,1988.77,2,-69.52479323049774,0.7651412988912334
277,2,61.62,4.1370847158982595,61.62,1,184.52044771092216,1.3286393670010366
